County,DwellingTypeDescr,AgeBand,CO2_decile,N
Mayo,Detached house,J,"(7.83e+03,9.82e+03]",15
Donegal,Detached house,I,"(5.57e+03,6.56e+03]",15
Dublin,Detached house,I,"(3.65e+03,4.22e+03]",15
Wexford,Detached house,E,"(7.83e+03,9.82e+03]",14
Cork,Detached house,D,"(9.82e+03,3.55e+04]",14
Tipperary,Detached house,E,"(7.83e+03,9.82e+03]",14
Donegal,Detached house,D,"(9.82e+03,3.55e+04]",14
Galway,Detached house,D,"(7.83e+03,9.82e+03]",14
Dublin,Detached house,D,"(7.83e+03,9.82e+03]",14
Cork,Detached house,F,"(4.78e+03,5.57e+03]",14
Mayo,Detached house,G,"(7.83e+03,9.82e+03]",14
Galway,Detached house,F,"(9.82e+03,3.55e+04]",14
Louth,Detached house,I,"(7.83e+03,9.82e+03]",14
Galway,Detached house,I,"(4.78e+03,5.57e+03]",14
Limerick,Detached house,J,"(7.83e+03,9.82e+03]",14
Tipperary,Detached house,J,"(6.56e+03,7.83e+03]",14
Clare,Detached house,G,"(9.82e+03,3.55e+04]",14
Meath,Detached house,G,"(9.82e+03,3.55e+04]",14
Clare,Detached house,H,"(6.56e+03,7.83e+03]",14
Kildare,Detached house,H,"(4.78e+03,5.57e+03]",14
Mayo,Detached house,I,"(5.57e+03,6.56e+03]",14
Cavan,Detached house,J,"(7.83e+03,9.82e+03]",14
Clare,Detached house,I,"(5.57e+03,6.56e+03]",14
Kildare,Ground-floor apartment,J,"(2.5e+03,3.1e+03]",14
Kildare,Semi-detached house,G,"(4.78e+03,5.57e+03]",14
Kildare,Detached house,K,"[324,2.5e+03]",14
Dublin,Mid-terrace house,C,"(3.65e+03,4.22e+03]",14
Laois,Semi-detached house,J,"(3.1e+03,3.65e+03]",14
Cavan,Semi-detached house,J,"(4.22e+03,4.78e+03]",14
Kildare,Semi-detached house,J,"(2.5e+03,3.1e+03]",14
Dublin,Semi-detached house,J,"(3.1e+03,3.65e+03]",14
Kildare,Mid-terrace house,J,"(2.5e+03,3.1e+03]",14
Dublin,Semi-detached house,G,"(6.56e+03,7.83e+03]",14
Mayo,Semi-detached house,I,"(4.78e+03,5.57e+03]",14
Waterford,Semi-detached house,I,"(3.65e+03,4.22e+03]",14
Tipperary,Semi-detached house,I,"(5.57e+03,6.56e+03]",14
Limerick,Semi-detached house,I,"(5.57e+03,6.56e+03]",14
Offaly,Semi-detached house,I,"(4.22e+03,4.78e+03]",14
Westmeath,Semi-detached house,H,"(5.57e+03,6.56e+03]",14
Dublin,Detached house,F,"(9.82e+03,3.55e+04]",14
Dublin,Detached house,I,"(4.22e+03,4.78e+03]",14
Dublin,Detached house,F,"(7.83e+03,9.82e+03]",14
Dublin,Detached house,H,"(5.57e+03,6.56e+03]",14
Dublin,Detached house,I,"(5.57e+03,6.56e+03]",14
Meath,Mid-terrace house,J,"(2.5e+03,3.1e+03]",14
Galway,Mid-terrace house,J,"(2.5e+03,3.1e+03]",14
Dublin,Semi-detached house,E,"(4.22e+03,4.78e+03]",13
Kerry,Detached house,D,"(7.83e+03,9.82e+03]",13
Dublin,Detached house,E,"(6.56e+03,7.83e+03]",13
Tipperary,Detached house,D,"(7.83e+03,9.82e+03]",13
Mayo,Detached house,D,"(7.83e+03,9.82e+03]",13
Mayo,Detached house,E,"(9.82e+03,3.55e+04]",13
Kildare,Detached house,E,"(9.82e+03,3.55e+04]",13
Offaly,Detached house,E,"(9.82e+03,3.55e+04]",13
Galway,Detached house,E,"(6.56e+03,7.83e+03]",13
Waterford,Detached house,E,"(9.82e+03,3.55e+04]",13
Galway,Detached house,E,"(7.83e+03,9.82e+03]",13
Kerry,Detached house,E,"(7.83e+03,9.82e+03]",13
Cork,End of terrace house,G,"(3.65e+03,4.22e+03]",13
Limerick,Detached house,I,"(5.57e+03,6.56e+03]",13
Tipperary,Detached house,G,"(6.56e+03,7.83e+03]",13
Cork,Detached house,H,"(4.22e+03,4.78e+03]",13
Donegal,Detached house,H,"(5.57e+03,6.56e+03]",13
Clare,Detached house,J,"(5.57e+03,6.56e+03]",13
Tipperary,Detached house,H,"(7.83e+03,9.82e+03]",13
Tipperary,Detached house,G,"(9.82e+03,3.55e+04]",13
